n_components,covariance_type,n_iter,features,classifier,nfeats,n_frames,selector,f1,stdev,time_elapsed
3,full,50,gtzan-feats,SVM,26,5,linspace,0.629186602871,0.0586002330809,326.842378855
3,full,50,gtzan-feats,SVM,26,20,linspace,0.692105263158,0.042999023299,486.079866886
3,full,100,gtzan-feats,SVM,26,5,linspace,0.611722488038,0.0502990075042,502.326541901
3,full,100,gtzan-feats,SVM,26,20,linspace,0.695933014354,0.0456085279017,504.968514204
3,full,150,gtzan-feats,SVM,26,5,linspace,0.5995215311,0.0450879195766,483.153110981
3,full,150,gtzan-feats,SVM,26,20,linspace,0.696172248804,0.0453284577069,508.398797989
3,diag,50,gtzan-feats,SVM,26,5,linspace,0.629186602871,0.0586002330809,286.442730904
3,diag,50,gtzan-feats,SVM,26,20,linspace,0.692105263158,0.042999023299,314.979487896
3,diag,100,gtzan-feats,SVM,26,5,linspace,0.611722488038,0.0502990075042,290.947192192
3,diag,100,gtzan-feats,SVM,26,20,linspace,0.695933014354,0.0456085279017,317.82693696
3,diag,150,gtzan-feats,SVM,26,5,linspace,0.5995215311,0.0450879195766,292.700891972
3,diag,150,gtzan-feats,SVM,26,20,linspace,0.696172248804,0.0453284577069,319.866677999
5,full,50,gtzan-feats,SVM,26,5,linspace,0.618899521531,0.0648607788198,606.115935087
5,full,50,gtzan-feats,SVM,26,20,linspace,0.688995215311,0.0516990018779,653.251277924
5,full,100,gtzan-feats,SVM,26,5,linspace,0.61985645933,0.0756317682824,594.885293007
5,full,100,gtzan-feats,SVM,26,20,linspace,0.68971291866,0.0516463904701,648.979773045
5,full,150,gtzan-feats,SVM,26,5,linspace,0.611483253589,0.0649555675083,593.739402056
5,full,150,gtzan-feats,SVM,26,20,linspace,0.688277511962,0.0495538807498,649.394669056
5,diag,50,gtzan-feats,SVM,26,5,linspace,0.618660287081,0.0640683970958,292.434264898
5,diag,50,gtzan-feats,SVM,26,20,linspace,0.689234449761,0.0522194608879,341.67730999
5,diag,100,gtzan-feats,SVM,26,5,linspace,0.619377990431,0.0740255716717,290.516829967
5,diag,100,gtzan-feats,SVM,26,20,linspace,0.689234449761,0.0519447353872,346.835160017
5,diag,150,gtzan-feats,SVM,26,5,linspace,0.611244019139,0.0652215592355,296.163115025
5,diag,150,gtzan-feats,SVM,26,20,linspace,0.688038277512,0.0494469308431,349.253046989
7,full,50,gtzan-feats,SVM,26,5,linspace,0.619138755981,0.0754556225328,731.31438899
7,full,50,gtzan-feats,SVM,26,20,linspace,0.688516746411,0.061868822489,835.357455969
7,full,100,gtzan-feats,SVM,26,5,linspace,0.621531100478,0.0680789116812,725.715531826
7,full,100,gtzan-feats,SVM,26,20,linspace,0.685167464115,0.0508731930852,828.156293869
7,full,150,gtzan-feats,SVM,26,5,linspace,0.606220095694,0.0699203352192,724.871208191
7,full,150,gtzan-feats,SVM,26,20,linspace,0.681818181818,0.0490284725644,832.673156023
7,diag,50,gtzan-feats,SVM,26,5,linspace,0.61985645933,0.0761220561471,305.681818962
7,diag,50,gtzan-feats,SVM,26,20,linspace,0.688995215311,0.0632049991082,410.20135498
7,diag,100,gtzan-feats,SVM,26,5,linspace,0.621291866029,0.0688417653991,310.974034071
7,diag,100,gtzan-feats,SVM,26,20,linspace,0.686363636364,0.0535719600192,414.0204041
7,diag,150,gtzan-feats,SVM,26,5,linspace,0.607416267943,0.0700940607612,309.571745157
7,diag,150,gtzan-feats,SVM,26,20,linspace,0.681578947368,0.0480527866535,413.520847082
9,full,50,gtzan-feats,SVM,26,5,linspace,0.618181818182,0.0667802730043,873.274043083
9,full,50,gtzan-feats,SVM,26,20,linspace,0.681339712919,0.0499421610934,1034.06054497
9,full,100,gtzan-feats,SVM,26,5,linspace,0.623684210526,0.0729586630029,866.559333086
9,full,100,gtzan-feats,SVM,26,20,linspace,0.692344497608,0.0574262351795,1015.41364598
9,full,150,gtzan-feats,SVM,26,5,linspace,0.611483253589,0.0679695343812,865.454928875
9,full,150,gtzan-feats,SVM,26,20,linspace,0.689234449761,0.0510556807742,1024.7062211
9,diag,50,gtzan-feats,SVM,26,5,linspace,0.617703349282,0.0662035684772,324.079563856
9,diag,50,gtzan-feats,SVM,26,20,linspace,0.681818181818,0.0508619416877,487.931046009
9,diag,100,gtzan-feats,SVM,26,5,linspace,0.623205741627,0.0713404189055,326.642539978
9,diag,100,gtzan-feats,SVM,26,20,linspace,0.691148325359,0.0559240909545,486.282097101
9,diag,150,gtzan-feats,SVM,26,5,linspace,0.611004784689,0.068263612484,330.302246094
9,diag,150,gtzan-feats,SVM,26,20,linspace,0.688995215311,0.0511424840345,489.157527924
