n_components,covariance_type,n_iter,features,classifier,nfeats,n_frames,selector,f1,stdev,time_elapsed
3,full,50,gtzan-feats,SVM,26,5,linspace,0.52553294708,0.0553162135944,102.266485929
3,full,50,gtzan-feats,SVM,26,20,linspace,0.528307228183,0.0610270455052,109.278801918
3,full,50,gtzan-feats,SVM,26,40,linspace,0.527227133571,0.0519506764937,117.124690056
3,full,100,gtzan-feats,SVM,26,5,linspace,0.527677939135,0.0593412371026,95.7273750305
3,full,100,gtzan-feats,SVM,26,20,linspace,0.531843759742,0.0298292021159,108.765889168
3,full,100,gtzan-feats,SVM,26,40,linspace,0.531370362412,0.0371744644118,116.024420023
3,full,150,gtzan-feats,SVM,26,5,linspace,0.521890934635,0.0637713904446,90.2704100609
3,full,150,gtzan-feats,SVM,26,20,linspace,0.52502574668,0.0423995165522,100.604055882
3,full,150,gtzan-feats,SVM,26,40,linspace,0.524460224932,0.0424096899719,115.49217701
3,diag,50,gtzan-feats,SVM,26,5,linspace,0.525012113747,0.0566133784281,56.5314540863
3,diag,50,gtzan-feats,SVM,26,20,linspace,0.528307228183,0.0610270455052,62.4561629295
3,diag,50,gtzan-feats,SVM,26,40,linspace,0.526185466904,0.0535589065532,69.588162899
3,diag,100,gtzan-feats,SVM,26,5,linspace,0.527157105801,0.0599697021568,53.0022621155
3,diag,100,gtzan-feats,SVM,26,20,linspace,0.534497796267,0.0295126090423,62.3068389893
3,diag,100,gtzan-feats,SVM,26,40,linspace,0.532961103499,0.0353929527985,69.3008239269
3,diag,150,gtzan-feats,SVM,26,5,linspace,0.520832495597,0.0599543216073,50.4786629677
3,diag,150,gtzan-feats,SVM,26,20,linspace,0.525009299311,0.0461325883053,58.0156199932
3,diag,150,gtzan-feats,SVM,26,40,linspace,0.527125794157,0.0393319136865,68.6511340141
5,full,50,gtzan-feats,SVM,26,5,linspace,0.53240040789,0.0502955973857,135.834177971
5,full,50,gtzan-feats,SVM,26,20,linspace,0.533559892502,0.0487251982269,150.112090826
5,full,50,gtzan-feats,SVM,26,40,linspace,0.525036770508,0.0474937991352,168.683377028
5,full,100,gtzan-feats,SVM,26,5,linspace,0.522257304097,0.0482346011005,125.026190996
5,full,100,gtzan-feats,SVM,26,20,linspace,0.526151690788,0.0405716548849,149.956269026
5,full,100,gtzan-feats,SVM,26,40,linspace,0.524577930447,0.0491409595578,168.185442924
5,full,150,gtzan-feats,SVM,26,5,linspace,0.521832239778,0.0530131446714,117.069215059
5,full,150,gtzan-feats,SVM,26,20,linspace,0.501767179592,0.0906507370126,137.475444078
5,full,150,gtzan-feats,SVM,26,40,linspace,0.491330467194,0.0935954983974,169.046326876
5,diag,50,gtzan-feats,SVM,26,5,linspace,0.531893500582,0.0533185211306,59.7279028893
5,diag,50,gtzan-feats,SVM,26,20,linspace,0.529376778467,0.0618766386302,73.3141541481
5,diag,50,gtzan-feats,SVM,26,40,linspace,0.526666772574,0.048210315754,90.6298418045
5,diag,100,gtzan-feats,SVM,26,5,linspace,0.525454633385,0.0465820033801,55.2233788967
5,diag,100,gtzan-feats,SVM,26,20,linspace,0.525602826149,0.0387901716892,73.2024919987
5,diag,100,gtzan-feats,SVM,26,40,linspace,0.522435955852,0.047918553798,91.305464983
5,diag,150,gtzan-feats,SVM,26,5,linspace,0.521832060522,0.0548933004188,52.343845129
5,diag,150,gtzan-feats,SVM,26,20,linspace,0.491082410761,0.0854771143583,67.3122251034
5,diag,150,gtzan-feats,SVM,26,40,linspace,0.498609714343,0.0755866382646,91.4692008495
7,full,50,gtzan-feats,SVM,26,5,linspace,0.529303522881,0.0631401612538,169.077468872
7,full,50,gtzan-feats,SVM,26,20,linspace,0.535136380194,0.0455803502997,194.464280128
7,full,50,gtzan-feats,SVM,26,40,linspace,0.530838832812,0.0345331414707,227.284152985
7,full,100,gtzan-feats,SVM,26,5,linspace,0.52653005419,0.0539365148001,156.248792171
7,full,100,gtzan-feats,SVM,26,20,linspace,0.533027711269,0.0544299825881,195.094652891
7,full,100,gtzan-feats,SVM,26,40,linspace,0.515413457121,0.0436915227358,228.12499404
7,full,150,gtzan-feats,SVM,26,5,linspace,0.523439062651,0.0621181235343,145.926569939
7,full,150,gtzan-feats,SVM,26,20,linspace,0.473140222927,0.0840714568851,178.090725899
7,full,150,gtzan-feats,SVM,26,40,linspace,0.476854124094,0.0828788915534,226.938099146
7,diag,50,gtzan-feats,SVM,26,5,linspace,0.530303000358,0.0555593120384,63.7062690258
7,diag,50,gtzan-feats,SVM,26,20,linspace,0.533540545688,0.0438689509929,88.5390150547
7,diag,50,gtzan-feats,SVM,26,40,linspace,0.529794351781,0.0369010315881,120.74082613
7,diag,100,gtzan-feats,SVM,26,5,linspace,0.525992086211,0.056084670553,59.6028330326
7,diag,100,gtzan-feats,SVM,26,20,linspace,0.531426247073,0.0532513201462,88.9779880047
7,diag,100,gtzan-feats,SVM,26,40,linspace,0.515942465883,0.0424833949768,120.948196888
