n_components,covariance_type,n_iter,features,classifier,nfeats,n_frames,selector,f1,stdev,time_elapsed
3,full,100,gtzan-feats,SVM,26,5,linspace,0.528428093645,0.0066889632107,18.4332940578
3,full,100,gtzan-feats,SVM,26,20,linspace,0.644370122631,0.0184199683856,22.5277750492
3,full,100,gtzan-feats,SVM,26,40,linspace,0.676700111483,0.0246525578456,25.7927689552
3,full,150,gtzan-feats,SVM,26,5,linspace,0.512820512821,0.0272392234624,17.4452340603
3,full,150,gtzan-feats,SVM,26,20,linspace,0.639910813824,0.0201595778373,25.6752049923
3,full,150,gtzan-feats,SVM,26,40,linspace,0.675585284281,0.0291565146725,17.8648018837
3,full,200,gtzan-feats,SVM,26,5,linspace,0.505016722408,0.0200668896321,14.8104920387
3,full,200,gtzan-feats,SVM,26,20,linspace,0.633221850613,0.0237277554669,16.6202960014
3,full,200,gtzan-feats,SVM,26,40,linspace,0.664437012263,0.0348104682185,18.3661470413
3,full,250,gtzan-feats,SVM,26,5,linspace,0.491638795987,0.0265459997766,15.0340969563
3,full,250,gtzan-feats,SVM,26,20,linspace,0.634336677815,0.0193093735515,19.2204511166
3,full,250,gtzan-feats,SVM,26,40,linspace,0.665551839465,0.0361760997538,22.0342121124
3,full,300,gtzan-feats,SVM,26,5,linspace,0.487179487179,0.0310754957966,23.2296638489
3,full,300,gtzan-feats,SVM,26,20,linspace,0.63768115942,0.0171625466202,22.8630890846
3,full,300,gtzan-feats,SVM,26,40,linspace,0.66220735786,0.0405496844581,22.1797721386
3,diag,100,gtzan-feats,SVM,26,5,linspace,0.528428093645,0.0066889632107,6.92181682587
3,diag,100,gtzan-feats,SVM,26,20,linspace,0.654403567447,0.0193093735515,8.9703412056
3,diag,100,gtzan-feats,SVM,26,40,linspace,0.670011148272,0.0237277554669,9.24670314789
3,diag,150,gtzan-feats,SVM,26,5,linspace,0.512820512821,0.0272392234624,8.75537991524
3,diag,150,gtzan-feats,SVM,26,20,linspace,0.645484949833,0.0267558528428,16.6186830997
3,diag,150,gtzan-feats,SVM,26,40,linspace,0.666666666667,0.0270331229721,11.3372340202
3,diag,200,gtzan-feats,SVM,26,5,linspace,0.502787068004,0.0168335215948,7.35370397568
3,diag,200,gtzan-feats,SVM,26,20,linspace,0.633221850613,0.0237277554669,10.4741668701
3,diag,200,gtzan-feats,SVM,26,40,linspace,0.667781493868,0.0372925946124,10.3394670486
3,diag,250,gtzan-feats,SVM,26,5,linspace,0.490523968785,0.0246525578456,7.41865801811
3,diag,250,gtzan-feats,SVM,26,20,linspace,0.634336677815,0.0193093735515,9.69743299484
3,diag,250,gtzan-feats,SVM,26,40,linspace,0.659977703456,0.0351303261016,12.0112950802
3,diag,300,gtzan-feats,SVM,26,5,linspace,0.487179487179,0.0310754957966,7.93592000008
3,diag,300,gtzan-feats,SVM,26,20,linspace,0.633221850613,0.0150811028523,8.22369503975
3,diag,300,gtzan-feats,SVM,26,40,linspace,0.657748049052,0.042083803987,11.3066759109
5,full,100,gtzan-feats,SVM,26,5,linspace,0.53734671126,0.0217605588584,37.6543190479
5,full,100,gtzan-feats,SVM,26,20,linspace,0.66220735786,0.00334448160535,33.2707529068
5,full,100,gtzan-feats,SVM,26,40,linspace,0.68115942029,0.0168335215948,39.4436190128
5,full,150,gtzan-feats,SVM,26,5,linspace,0.523968784838,0.019017527435,23.319314003
5,full,150,gtzan-feats,SVM,26,20,linspace,0.645484949833,0.0100334448161,28.7378969193
5,full,150,gtzan-feats,SVM,26,40,linspace,0.667781493868,0.0278483745748,34.2608439922
5,full,200,gtzan-feats,SVM,26,5,linspace,0.505016722408,0.0322530125786,21.6293799877
5,full,200,gtzan-feats,SVM,26,20,linspace,0.63768115942,0.0154474988412,23.9474749565
5,full,200,gtzan-feats,SVM,26,40,linspace,0.667781493868,0.0301622057045,26.567592144
5,full,250,gtzan-feats,SVM,26,5,linspace,0.501672240803,0.0219312325227,30.2107748985
5,full,250,gtzan-feats,SVM,26,20,linspace,0.642140468227,0.0176973331844,25.1238000393
5,full,250,gtzan-feats,SVM,26,40,linspace,0.664437012263,0.0321372024647,26.2627220154
5,full,300,gtzan-feats,SVM,26,5,linspace,0.496098104794,0.0168335215948,19.7749278545
5,full,300,gtzan-feats,SVM,26,20,linspace,0.641025641026,0.0222686559146,23.3256061077
5,full,300,gtzan-feats,SVM,26,40,linspace,0.66220735786,0.0367892976589,25.9825918674
5,diag,100,gtzan-feats,SVM,26,5,linspace,0.53734671126,0.0201595778373,7.28359293938
5,diag,100,gtzan-feats,SVM,26,20,linspace,0.659977703456,0.00510878003897,9.49995493889
5,diag,100,gtzan-feats,SVM,26,40,linspace,0.68115942029,0.0184199683856,12.0453968048
5,diag,150,gtzan-feats,SVM,26,5,linspace,0.519509476031,0.0251021856169,7.38694810867
5,diag,150,gtzan-feats,SVM,26,20,linspace,0.642140468227,0.0133779264214,9.83311700821
5,diag,150,gtzan-feats,SVM,26,40,linspace,0.66889632107,0.0265459997766,12.0634031296
5,diag,200,gtzan-feats,SVM,26,5,linspace,0.50613154961,0.0272392234624,7.08635592461
5,diag,200,gtzan-feats,SVM,26,20,linspace,0.634336677815,0.0158054034323,9.20789504051
5,diag,200,gtzan-feats,SVM,26,40,linspace,0.670011148272,0.0284444834385,12.0184781551
5,diag,250,gtzan-feats,SVM,26,5,linspace,0.505016722408,0.0153263401169,7.040776968
5,diag,250,gtzan-feats,SVM,26,20,linspace,0.643255295429,0.0201595778373,9.05593585968
5,diag,250,gtzan-feats,SVM,26,40,linspace,0.665551839465,0.0334448160535,11.8191058636
5,diag,300,gtzan-feats,SVM,26,5,linspace,0.497212931996,0.0222686559146,6.73903918266
